Are you planning to vote in 2019 presidential election?,Who will be your first choice according to the situation as at today?,Who will be your second choice according to the situation as at today?,Who will be your third choice according to the situation as at today?,Which issue will matter the most when deciding you vote?,Who was your choice in 2015 presidential election?,"In local government election, which party was your choice?",What is your Education level?,How many registered voters in your family?,Will they follow your choice?,Select your Average Monthly income category,What is your Ethnicity?,What is your Religion?
Yes,Sajith Premadasa (UNF),None,None,National Security,Maithreepala Sirisena,United National Party (UNP),Passed GCE Ordinary Level,4,No,50000 - 100000,Mustim,Muslim
Yes,Mahesh Senarathna (NPM),Gotabhaya Rajapakse (SLPP),None,Progress of the Country,Maithreepala Sirisena,Janatha Vimukthi Peramuna,Grade 5 - 9. Haven't passed GCE Ordinary Level,2,Yes,Below 50000,Indian Tamil,Hindu
Yes,Anura Kumara Disanayake (NPP),Gotabhaya Rajapakse (SLPP),None,Corruption,Mahinda Rajapakse,Did Not Vote,Grade 5 - 9. Haven't passed GCE Ordinary Level,3,May be,50000 - 100000,Sinhala,Buddhist
Yes,Sajith Premadasa (UNF),Gotabhaya Rajapakse (SLPP),None,Progress of the Country,Did Not Vote,United National Party (UNP),Passed GCE Ordinary Level,2,May be,Higher than 100000,Indian Tamil,Christian
Yes,Sajith Premadasa (UNF),Gotabhaya Rajapakse (SLPP),None,Progress of the Country,Mahinda Rajapakse,Sri Lanka Podujana Peramuna (SLPP),Passed GCE Ordinary Level,2,No,Refused to answer,Sinhala,Buddhist
Yes,Gotabhaya Rajapakse (SLPP),Mahesh Senarathna (NPM),None,Progress of the Country,Mahinda Rajapakse,Janatha Vimukthi Peramuna,Passed GCE Ordinary Level,2,Yes,Below 50000,Indian Tamil,Hindu
Yes,Anura Kumara Disanayake (NPP),Mahesh Senarathna (NPM),None,Progress of the Country,Did Not Vote,Other,Grade 5 - 9. Haven't passed GCE Ordinary Level,3,No,50000 - 100000,Indian Tamil,Hindu
Yes,Mahesh Senarathna (NPM),Sajith Premadasa (UNF),Gotabhaya Rajapakse (SLPP),Progress of the Country,Other,Janatha Vimukthi Peramuna,Grade 5 - 9. Haven't passed GCE Ordinary Level,2,No,50000 - 100000,Indian Tamil,Hindu
Yes,Mahesh Senarathna (NPM),Sajith Premadasa (UNF),Gotabhaya Rajapakse (SLPP),Progress of the Country,Mahinda Rajapakse,Did Not Vote,Passed GCE Ordinary Level,4,No,Below 50000,Indian Tamil,Christian
Yes,Mahesh Senarathna (NPM),Not Decided,Gotabhaya Rajapakse (SLPP),National Security,Maithreepala Sirisena,Janatha Vimukthi Peramuna,Grade 5 - 9. Haven't passed GCE Ordinary Level,4,May be,Refused to answer,Sinhala,Buddhist
Yes,Mahesh Senarathna (NPM),Gotabhaya Rajapakse (SLPP),Not Decided,Progress of the Country,Did Not Vote,Did Not Vote,Grade 5 - 9. Haven't passed GCE Ordinary Level,4,Yes,50000 - 100000,Sinhala,Buddhist
Yes,Mahesh Senarathna (NPM),Gotabhaya Rajapakse (SLPP),Not Decided,Progress of the Country,Mahinda Rajapakse,United National Party (UNP),Passed GCE Advanced Level,5,No,Refused to answer,Indian Tamil,Christian
Yes,Anura Kumara Disanayake (NPP),Not Decided,Not Decided,Corruption,Maithreepala Sirisena,Did Not Vote,Passed GCE Ordinary Level,2,May be,Refused to answer,Indian Tamil,Christian
Yes,Anura Kumara Disanayake (NPP),None,Not Decided,Employment Opportunities,Mahinda Rajapakse,Sri Lanka Podujana Peramuna (SLPP),Passed GCE Ordinary Level,6,May be,Below 50000,Indian Tamil,Hindu
Yes,Mahesh Senarathna (NPM),Sajith Premadasa (UNF),None,National Security,Mahinda Rajapakse,Other,Grade 5 - 9. Haven't passed GCE Ordinary Level,3,No,50000 - 100000,Indian Tamil,Hindu
Yes,Anura Kumara Disanayake (NPP),Sajith Premadasa (UNF),None,Corruption,Did Not Vote,Janatha Vimukthi Peramuna,Up to grade 5,2,May be,Higher than 100000,Indian Tamil,Christian
Yes,Anura Kumara Disanayake (NPP),Sajith Premadasa (UNF),None,National Security,Did Not Vote,Did Not Vote,Passed GCE Ordinary Level,4,No,50000 - 100000,Indian Tamil,Christian
Yes,Sajith Premadasa (UNF),Sajith Premadasa (UNF),None,Progress of the Country,Maithreepala Sirisena,Janatha Vimukthi Peramuna,Passed GCE Ordinary Level,4,May be,Refused to answer,Indian Tamil,Christian
Yes,Gotabhaya Rajapakse (SLPP),Not Decided,None,Progress of the Country,Did Not Vote,Other,Passed GCE Advanced Level,5,No,Higher than 100000,Indian Tamil,Christian
Yes,Sajith Premadasa (UNF),Anura Kumara Disanayake (NPP),None,Corruption,Did Not Vote,Sri Lanka Freedom Party (SLFP),Passed GCE Advanced Level,2,May be,Higher than 100000,Indian Tamil,Christian
Yes,Mahesh Senarathna (NPM),Anura Kumara Disanayake (NPP),None,Progress of the Country,Maithreepala Sirisena,Other,Passed GCE Ordinary Level,4,Yes,Higher than 100000,Indian Tamil,Christian
Yes,Anura Kumara Disanayake (NPP),Anura Kumara Disanayake (NPP),None,Progress of the Country,Did Not Vote,Did Not Vote,Passed GCE Ordinary Level,4,No,50000 - 100000,Sinhala,Buddhist
Yes,Sajith Premadasa (UNF),None,None,Progress of the Country,Mahinda Rajapakse,United National Party (UNP),Passed GCE Ordinary Level,3,May be,Below 50000,Indian Tamil,Christian
Yes,Sajith Premadasa (UNF),Not Decided,None,Corruption,Did Not Vote,United National Party (UNP),Passed GCE Ordinary Level,3,No,Below 50000,Indian Tamil,Christian
Yes,Anura Kumara Disanayake (NPP),Not Decided,None,Progress of the Country,Maithreepala Sirisena,Sri Lanka Podujana Peramuna (SLPP),Grade 5 - 9. Haven't passed GCE Ordinary Level,1,May be,Higher than 100000,Indian Tamil,Christian
Yes,Mahesh Senarathna (NPM),Not Decided,None,Progress of the Country,Did Not Vote,United National Party (UNP),Grade 5 - 9. Haven't passed GCE Ordinary Level,5,Yes,50000 - 100000,Sinhala,Buddhist
Yes,Gotabhaya Rajapakse (SLPP),Not Decided,None,Progress of the Country,Maithreepala Sirisena,Sri Lanka Freedom Party (SLFP),Passed GCE Ordinary Level,5,May be,Refused to answer,Indian Tamil,Hindu
Yes,Anura Kumara Disanayake (NPP),Not Decided,None,Progress of the Country,Maithreepala Sirisena,Sri Lanka Freedom Party (SLFP),Grade 5 - 9. Haven't passed GCE Ordinary Level,4,No,Higher than 100000,Indian Tamil,Christian
Yes,Gotabhaya Rajapakse (SLPP),Sajith Premadasa (UNF),None,Development deficiency,Maithreepala Sirisena,Other,Passed GCE Ordinary Level,3,Yes,Refused to answer,Indian Tamil,Hindu
Yes,Gotabhaya Rajapakse (SLPP),Sajith Premadasa (UNF),None,Corruption,Did Not Vote,Sri Lanka Podujana Peramuna (SLPP),Passed GCE Ordinary Level,3,No,Refused to answer,Indian Tamil,Christian
Yes,Gotabhaya Rajapakse (SLPP),Mahesh Senarathna (NPM),None,Progress of the Country,Maithreepala Sirisena,United National Party (UNP),Passed GCE Ordinary Level,3,No,Higher than 100000,Indian Tamil,Hindu
Yes,Sajith Premadasa (UNF),Mahesh Senarathna (NPM),Not Decided,Development deficiency,Mahinda Rajapakse,Janatha Vimukthi Peramuna,Grade 5 - 9. Haven't passed GCE Ordinary Level,6,Yes,Higher than 100000,Indian Tamil,Christian
Yes,Anura Kumara Disanayake (NPP),Mahesh Senarathna (NPM),Not Decided,Ethnic issues,Mahinda Rajapakse,Sri Lanka Freedom Party (SLFP),Passed GCE Ordinary Level,1,May be,Below 50000,Indian Tamil,Christian
Yes,Gotabhaya Rajapakse (SLPP),Mahesh Senarathna (NPM),Not Decided,National Security,Did Not Vote,Sri Lanka Podujana Peramuna (SLPP),Grade 5 - 9. Haven't passed GCE Ordinary Level,6,Yes,50000 - 100000,Indian Tamil,Hindu
Yes,Sajith Premadasa (UNF),Anura Kumara Disanayake (NPP),Not Decided,Progress of the Country,Mahinda Rajapakse,Sri Lanka Podujana Peramuna (SLPP),Passed GCE Ordinary Level,3,May be,Higher than 100000,Sinhala,Buddhist
Yes,Sajith Premadasa (UNF),Anura Kumara Disanayake (NPP),Not Decided,Progress of the Country,Mahinda Rajapakse,United National Party (UNP),Grade 5 - 9. Haven't passed GCE Ordinary Level,4,No,Below 50000,Indian Tamil,Hindu
Yes,Gotabhaya Rajapakse (SLPP),Anura Kumara Disanayake (NPP),Not Decided,Development deficiency,Maithreepala Sirisena,Sri Lanka Freedom Party (SLFP),Passed GCE Ordinary Level,4,No,Higher than 100000,Sinhala,Buddhist
